"region_id","data_origin_id","response_id","year","percentage"
17,1,4,2007,0.135379539
18,1,4,2007,0.09348323300000001
19,1,4,2007,0.09025495
20,1,4,2007,0.01571133
21,1,4,2007,0.146107598
22,1,4,2007,0.073450524
23,1,4,2007,0.123707629
24,1,4,2007,0.036978733
0,1,4,2017,0.170783503
1,1,4,2017,0.27336838199999997
2,1,4,2017,0.13177519699999998
3,1,4,2017,0.349182886
4,1,4,2017,0.151043995
5,1,4,2017,0.13715597300000001
6,1,4,2017,0.549555268
7,1,4,2017,0.17868847399999999
8,1,4,2017,0.07245939400000001
9,1,4,2017,0.218337585
10,1,4,2017,0.39774741799999996
11,1,4,2017,0.21485046300000002
12,1,4,2017,0.328099454
13,1,4,2017,0.320314447
14,1,4,2017,0.5969973829999999
15,1,4,2017,0.33904975
16,1,4,2017,0.459963296
17,1,4,2017,0.384732721
18,1,4,2017,0.31508591399999997
19,1,4,2017,0.320447506
20,1,4,2017,0.062257663
21,1,4,2017,0.451729961
22,1,4,2017,0.221051322
23,1,4,2017,0.446036615
24,1,4,2017,0.313080749
0,1,5,2007,0.965502786
1,1,5,2007,0.893724023
2,1,5,2007,0.9674103999999999
3,1,5,2007,0.8760342309999999
4,1,5,2007,0.9745015229999999
5,1,5,2007,0.975461356
6,1,5,2007,0.714277787
7,1,5,2007,0.9464691059999999
8,1,5,2007,0.9925099940000001
9,1,5,2007,0.9616059229999999
10,1,5,2007,0.9255093240000001
11,1,5,2007,0.9454616809999999
12,1,5,2007,0.873784566
13,1,5,2007,0.894293641
14,1,5,2007,0.684259148
15,1,5,2007,0.91365893
16,1,5,2007,0.8604059070000001
17,1,5,2007,0.8646204609999999
18,1,5,2007,0.9065167670000001
19,1,5,2007,0.90974505
20,1,5,2007,0.98428867
21,1,5,2007,0.853892402
22,1,5,2007,0.9265494759999999
23,1,5,2007,0.8762923709999999
24,1,5,2007,0.963021267
0,1,5,2017,0.829216497
1,1,5,2017,0.726631618
2,1,5,2017,0.8682248029999999
3,1,5,2017,0.650817114
4,1,5,2017,0.848956005
5,1,5,2017,0.8628440270000001
6,1,5,2017,0.450444732
7,1,5,2017,0.8213115259999999
8,1,5,2017,0.927540606
9,1,5,2017,0.781662415
10,1,5,2017,0.602252582
11,1,5,2017,0.785149537
12,1,5,2017,0.6719005459999999
13,1,5,2017,0.679685553
14,1,5,2017,0.403002617
15,1,5,2017,0.66095025
16,1,5,2017,0.540036704
17,1,5,2017,0.615267279
18,1,5,2017,0.6849140859999999
19,1,5,2017,0.6795524940000001
20,1,5,2017,0.937742337
21,1,5,2017,0.5482700389999999
22,1,5,2017,0.778948678
23,1,5,2017,0.553963385
24,1,5,2017,0.686919251
0,1,6,2007,0.050361300000000005
0,1,7,2007,0.176799603
1,1,6,2007,0.20115192199999998
1,1,7,2007,0.34921776200000004
2,1,6,2007,0.049199117
2,1,7,2007,0.160768472
3,1,6,2007,0.28560918
3,1,7,2007,0.494685245
4,1,6,2007,0.072590976
4,1,7,2007,0.183245784
5,1,6,2007,0.071080762
5,1,7,2007,0.203002601
6,1,6,2007,0.505858905
6,1,7,2007,0.62981614
7,1,6,2007,0.118664754
7,1,7,2007,0.29210064
8,1,6,2007,0.029454781
8,1,7,2007,0.060035278
9,1,6,2007,0.072704738
9,1,7,2007,0.186896548
10,1,6,2007,0.236401442
10,1,7,2007,0.551297365
11,1,6,2007,0.16892137
